"applicationdocsid","applicationdocstypeid","applno","submissiontype","submissionno","applicationdocstitle","applicationdocsurl","applicationdocsdate","tecode"
5452,1,21462,"SUPPL",30,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/021462s029,s030,s032ltr.pdf","2011-11-22 00:00:00",
37002,2,21462,"SUPPL",30,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021462s029s030s032lbl.pdf","2011-11-25 00:00:00",
5453,1,21462,"SUPPL",32,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/021462s029,s030,s032ltr.pdf","2011-11-22 00:00:00",
15531,2,21462,"SUPPL",32,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021462s029s030s032lbl.pdf","2011-11-25 00:00:00",
5454,1,21462,"SUPPL",33,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/021462s033ltr.pdf","2011-03-23 00:00:00",
37003,2,21462,"SUPPL",33,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021462s033lbl.pdf","2011-03-21 00:00:00",
5455,1,21462,"SUPPL",39,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2012/021462Orig1s039ltr.pdf","2012-10-18 00:00:00",
15532,2,21462,"SUPPL",39,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021462s039lbl.pdf","2012-10-17 00:00:00",
15533,2,21462,"SUPPL",40,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021462s040lbl.pdf","2012-06-05 00:00:00",
27861,1,21462,"SUPPL",40,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2012/021462s040ltr.pdf","2012-06-07 00:00:00",
37004,2,21462,"SUPPL",42,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021462s042lbl.pdf","2013-01-22 00:00:00",
27862,1,21462,"SUPPL",43,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2012/021462Orig1s043ltr.pdf","2012-11-14 00:00:00",
37005,2,21462,"SUPPL",43,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021462s043lbl.pdf","2012-11-15 00:00:00",
5456,1,21462,"SUPPL",45,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/021462Orig1s045ltr.pdf","2013-09-13 00:00:00",
15534,2,21462,"SUPPL",45,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021462s045lbl.pdf","2013-09-17 00:00:00",
50019,2,21462,"SUPPL",50,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021462s050lbl.pdf","2017-10-12 00:00:00",
50020,1,21462,"SUPPL",50,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2017/021462Orig1s050ltr.pdf","2017-10-12 00:00:00",
54436,2,21462,"SUPPL",51,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021462s051lbl.pdf","2018-06-05 00:00:00",
54438,1,21462,"SUPPL",51,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2018/021462Orig1s051ltr.pdf","2018-06-05 00:00:00",
53756,1,21462,"SUPPL",52,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2018/021462Orig1s052ltr.pdf","2018-04-20 00:00:00",
5457,1,21463,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/021463s000ltr.pdf","2011-01-07 00:00:00",
21673,3,21463,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/021463_fortesta_toc.cfm","2011-09-16 00:00:00",
23268,8,21463,"ORIG",1,"0","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM239932.pdf","2011-01-13 00:00:00",
24202,21,21463,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/021463Orig1s000SumR.pdf","2011-09-16 00:00:00",
37006,2,21463,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021463s000lbl.pdf","2011-01-11 00:00:00",
44478,14,21463,"ORIG",1,"REMS","http://www.accessdata.fda.gov/scripts/cder/rems/index.cfm?event=IndvRemsDetails.page&REMS=20","2011-01-07 00:00:00",
15535,2,21463,"SUPPL",10,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021463s010lbl.pdf","2013-09-11 00:00:00",
